customer_id,Order_Count,Total_Revenue,Avg_Order_Value
1663,14,17680.69,1262.91
1955,10,16265.15,1626.52
1675,11,15036.46,1366.95
1276,11,15023.71,1365.79
1647,11,14894.97,1354.09
1804,10,14330.98,1433.1
1193,7,14151.65,2021.66
1836,9,14110.78,1567.86
1957,12,13956.95,1163.08
1735,8,13146.25,1643.28
1601,9,12802.42,1422.49
1505,7,12783.07,1826.15
1935,12,12656.45,1054.7
1890,9,12529.37,1392.15
1267,11,12447.79,1131.62
1880,11,12322.0,1120.18
1839,10,12319.29,1231.93
1182,8,11986.61,1498.33
1222,9,11980.54,1331.17
1130,8,11965.14,1495.64
1475,11,11813.38,1073.94
1612,11,11725.79,1065.98
1700,6,11716.05,1952.68
1288,10,11683.85,1168.38
1961,9,11674.27,1297.14
1074,11,11661.08,1060.1
1665,10,11617.32,1161.73
1153,8,11579.86,1447.48
1954,8,11524.23,1440.53
1146,7,11513.28,1644.75
1699,8,11436.86,1429.61
1882,9,11420.04,1268.89
1011,10,11370.62,1137.06
1072,7,11338.11,1619.73
1496,10,11295.75,1129.58
1200,9,11280.23,1253.36
1301,10,11107.14,1110.71
1987,8,10944.28,1368.04
1374,6,10910.94,1818.49
1654,7,10868.66,1552.67
1406,8,10868.6,1358.58
1232,10,10833.98,1083.4
1686,7,10729.04,1532.72
1187,9,10718.54,1190.95
1164,7,10679.27,1525.61
1669,12,10572.84,881.07
1241,8,10557.43,1319.68
1252,8,10531.3,1316.41
1434,10,10530.54,1053.05
1317,10,10516.43,1051.64
